x,y,ore_type,hardness,value,density,fragmentation_index,blast_resistance
0,0,gold,3,100,19.3,0.7,0.3
1,0,chalcopyrite,4,40,4.2,0.6,0.4
2,0,hematite,6,50,5.3,0.5,0.6
3,0,magnetite,6,45,5.2,0.5,0.6
0,1,granite,6,0,2.6,0.3,0.7
1,1,limestone,3,0,2.7,0.8,0.3
2,1,sandstone,6,0,2.5,0.6,0.4
3,1,basalt,6,0,2.9,0.4,0.6
0,2,soil/overburden,1,0,1.3,1.0,0.1
1,2,stone,6,0,2.6,0.4,0.5
2,2,coal,2,15,1.3,0.8,0.2
3,2,iron,6,50,5.3,0.5,0.6
0,3,copper,4,40,4.2,0.6,0.4
1,3,diamond,10,200,3.5,0.2,0.9
2,3,silver,3,75,10.5,0.6,0.4
3,3,granite,6,0,2.6,0.3,0.7
